1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;5513000;Gelsenkirchen;voll.;4,359;2,245;2,114;55;33;22;495;193;302;550;226;324;383;200;183;276;130;146;2,919;1,562;1,357;231;127;104;3,150;1,689;1,461
------;Straftaten insgesamt;5513000;Gelsenkirchen;vers.;260;157;103;2;1;1;8;4;4;10;5;5;22;16;6;11;8;3;200;122;78;17;6;11;217;128;89
------;Straftaten insgesamt;5513000;Gelsenkirchen;insg.;4,619;2,402;2,217;57;34;23;503;197;306;560;231;329;405;216;189;287;138;149;3,119;1,684;1,435;248;133;115;3,367;1,817;1,550
------;Straftaten insgesamt;3159016;Göttingen;voll.;2,211;1,326;885;20;14;6;104;57;47;124;71;53;124;62;62;191;100;91;1,632;1,010;622;140;83;57;1,772;1,093;679
------;Straftaten insgesamt;3159016;Göttingen;vers.;181;109;72;2;2;0;5;1;4;7;3;4;8;7;1;14;8;6;142;88;54;10;3;7;152;91;61
------;Straftaten insgesamt;3159016;Göttingen;insg.;2,392;1,435;957;22;16;6;109;58;51;131;74;57;132;69;63;205;108;97;1,774;1,098;676;150;86;64;1,924;1,184;740
------;Straftaten insgesamt;5754008;Gütersloh;voll.;1,379;750;629;14;4;10;63;34;29;77;38;39;113;51;62;108;56;52;1,005;570;435;76;35;41;1,081;605;476
------;Straftaten insgesamt;5754008;Gütersloh;vers.;130;67;63;3;1;2;4;1;3;7;2;5;5;1;4;11;6;5;97;55;42;10;3;7;107;58;49
------;Straftaten insgesamt;5754008;Gütersloh;insg.;1,509;817;692;17;5;12;67;35;32;84;40;44;118;52;66;119;62;57;1,102;625;477;86;38;48;1,188;663;525
------;Straftaten insgesamt;5914000;Hagen;voll.;2,889;1,685;1,204;50;30;20;211;100;111;261;130;131;178;93;85;194;119;75;2,092;1,243;849;164;100;64;2,256;1,343;913
------;Straftaten insgesamt;5914000;Hagen;vers.;203;128;75;2;1;1;17;8;9;19;9;10;11;4;7;16;9;7;136;95;41;21;11;10;157;106;51
------;Straftaten insgesamt;5914000;Hagen;insg.;3,092;1,813;1,279;52;31;21;228;108;120;280;139;141;189;97;92;210;128;82;2,228;1,338;890;185;111;74;2,413;1,449;964
------;Straftaten insgesamt;15002000;Halle (Saale);voll.;5,013;3,036;1,977;36;20;16;374;213;161;410;233;177;493;297;196;459;251;208;3,401;2,119;1,282;250;136;114;3,651;2,255;1,396
------;Straftaten insgesamt;15002000;Halle (Saale);vers.;455;304;151;2;1;1;42;32;10;44;33;11;36;26;10;42;29;13;303;204;99;30;12;18;333;216;117
------;Straftaten insgesamt;15002000;Halle (Saale);insg.;5,468;3,340;2,128;38;21;17;416;245;171;454;266;188;529;323;206;501;280;221;3,704;2,323;1,381;280;148;132;3,984;2,471;1,513
------;Straftaten insgesamt;2000000;Hamburg;voll.;29,795;17,969;11,826;194;126;68;1,657;963;694;1,851;1,089;762;1,966;1,046;920;2,063;1,145;918;22,158;13,664;8,494;1,757;1,025;732;23,915;14,689;9,226
------;Straftaten insgesamt;2000000;Hamburg;vers.;1,910;1,370;540;9;6;3;89;56;33;98;62;36;120;86;34;135;92;43;1,445;1,052;393;112;78;34;1,557;1,130;427
------;Straftaten insgesamt;2000000;Hamburg;insg.;31,705;19,339;12,366;203;132;71;1,746;1,019;727;1,949;1,151;798;2,086;1,132;954;2,198;1,237;961;23,603;14,716;8,887;1,869;1,103;766;25,472;15,819;9,653
------;Straftaten insgesamt;5915000;Hamm;voll.;2,656;1,506;1,150;31;13;18;208;111;97;239;124;115;197;96;101;177;100;77;1,897;1,104;793;146;82;64;2,043;1,186;857
